generic_name,brand_names,substance,drug_class,product_type
KALI CYANATUM,Kali Cyanatum,POTASSIUM CYANIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
SALICYLIC ACID,Satinique Anti Dandruff Scalp and Hair,SALICYLIC ACID,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
KALI OXALICUM,Kali Oxalicum,POTASSIUM OXALATE,Unknown,HUMAN OTC DRUG
ZINC GLUCONATE,Cold-EEZE Cold Remedy,ZINC GLUCONATE,Unknown,HUMAN OTC DRUG
"DICLOFENAC SODIUM TOPICAL GEL, 1%",DICLOFENAC SODIUM,DICLOFENAC SODIUM,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
LITHIUM SULPHURATUM,Lithium Sulphuratum,LITHIUM SULFATE,Unknown,HUMAN OTC DRUG
CEFTRIAXONE SODIUM,Ceftriaxone Sodium,CEFTRIAXONE SODIUM,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
POLYETHYLENE GLYCOL 3350,Topcare ClearLax,POLYETHYLENE GLYCOL 3350,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
MECLIZINE HCL 12.5 MG,MECLIZINE,MECLIZINE HYDROCHLORIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
LIDOCAINE,Tridacaine XL,LIDOCAINE,Unknown,HUMAN PRESCRIPTION DRUG
SIMETHICONE,Right Remedies Maximum Strength Gas Relief Softgel,DIMETHICONE,Unknown,HUMAN OTC DRUG
HYDROCORTISONE WITH ALOE ANTI ITCH,Hydrocortisone with aloe,HYDROCORTISONE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
IBUPROFEN,ibuprofen,IBUPROFEN,Unknown,HUMAN OTC DRUG
PODOFILOX,Condylox,PODOFILOX,Unknown,HUMAN PRESCRIPTION DRUG
OLANZAPINE,Olanzapine,OLANZAPINE,Unknown,HUMAN PRESCRIPTION DRUG
BENAZEPRIL HYDROCHLORIDE,Benazepril Hydrochloride,BENAZEPRIL HYDROCHLORIDE,Unknown,HUMAN PRESCRIPTION DRUG
"CLOBETASOL PROPIONATE OINTMENT USP, 0.05%",Clobetasol Propionate,CLOBETASOL PROPIONATE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
BENZOCAINE,Avant,BENZOCAINE,Unknown,HUMAN OTC DRUG
PIOGLITAZONE HYDROCHLORIDE,PIOGLITAZONE HYDROCHLORIDE,PIOGLITAZONE HYDROCHLORIDE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
MENTHOL,Kroger Hot and Cold Medicated Patch,MENTHOL,Unknown,HUMAN OTC DRUG
BISACODYL,stimulant laxative enteric coated,BISACODYL,Unknown,HUMAN OTC DRUG
HYDROCORTISONE ACETATE,Hydrocortisone Acetate,HYDROCORTISONE ACETATE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
DEXTROSE MONOHYDRATE,DEXTROSE,DEXTROSE MONOHYDRATE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
"ACETAMINOPHEN, PHENYLEPHRINE, DEXTROMETHORPHAN HBR, GUAIFENESIN TABLET, FILM COATED","Daytime Cold and Flu Severe, Caseys 4goog|Daytime Cold and Flu Severe, Caseys 4good",ACETAMINOPHEN|DEXTROMETHORPHAN HYDROBROMIDE|GUAIFENESIN|PHENYLEPHRINE HYDROCHLORIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
"ALUMINUM HYDROXIDE, MAGNESIUM HYDROXIDE, DIMETHICONE",GERI-MOX ANTACID ANTIGAS,ALUMINUM HYDROXIDE|DIMETHICONE|MAGNESIUM HYDROXIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
MENTHOL,Signature Care Medicated Cold and Hot Patch,MENTHOL,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
"BENZOCAINE, GLYCERIN",Finafta,BENZOCAINE|GLYCERIN,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
"AVOBENZONE,HOMOSALATE,OCTISALATE,OCTOCRYLENE,AND OXYBENZONE",BOBBI BROWN PRIMER PLUS PROTECTION BROAD SPECTRUM SPF50,AVOBENZONE|HOMOSALATE|OCTISALATE|OCTOCRYLENE|OXYBENZONE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
"ACETAMINOPHEN, GUAIFENESIN, PHENYLEPHRINE HCL CAPLET, FILM-COATED","Sinus Relief, Caseys 4good",ACETAMINOPHEN|GUAIFENESIN|PHENYLEPHRINE HYDROCHLORIDE,Unknown,HUMAN OTC DRUG
STANNOUS FLUORIDE,Gum Detoxify,STANNOUS FLUORIDE,Unknown,HUMAN OTC DRUG
LITHIUM IODATUM,Lithium Iodatum,LITHIUM IODATE,Unknown,HUMAN OTC DRUG
GLIPIZIDE,Glipizide,GLIPIZIDE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
PROCHLORPERAZINE EDISYLATE,Prochlorperazine Edisylate,PROCHLORPERAZINE EDISYLATE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
"DIMETHICONE, OCTINOXATE, OCTISALATE, OXYBENZONE","Softlips Peppermint Mocha, Apple Chai Cider, Orange Cranberry",DIMETHICONE|OCTINOXATE|OCTISALATE|OXYBENZONE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
MERCURIUS ACETICUS,Mercurius Aceticus,MERCUROUS ACETATE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
DIVALPROEX SODIUM,Divalproex Sodium,DIVALPROEX SODIUM,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
ACETAMINOPHEN,Childrens Pain and Fever,ACETAMINOPHEN,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
POVIDONE-IODINE,Povidone-Iodine Scrub Sterile,POVIDONE-IODINE,Unknown,HUMAN OTC DRUG
BISMUTH SUBSALICYLATE,Pepto Bismol,BISMUTH SUBSALICYLATE,Unknown,HUMAN OTC DRUG
MERCURIUS ARSENICICUS,Mercurius Arsenicicus,MERCURIC ARSENATE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
ROSUVASTATIN CALCIUM,Rosuvastatin calcium,ROSUVASTATIN CALCIUM,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
VANCOMYCIN HYDROCHLORIDE,Vancomycin Hydrochloride,VANCOMYCIN HYDROCHLORIDE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
OMEGA-3-ACID ETHYL ESTERS,Omega-3-acid ethyl esters,OMEGA-3-ACID ETHYL ESTERS,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
OMEPRAZOLE MAGNESIUM,omeprazole,OMEPRAZOLE MAGNESIUM,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
BISACODYL,Bisacodyl,BISACODYL,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
OXAZEPAM,Oxazepam,OXAZEPAM,Unknown,HUMAN PRESCRIPTION DRUG
OMEPRAZOLE,Omeprazole,OMEPRAZOLE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
BUPROPION HYDROCHLORIDE,BUPROPION HYDROCHLORIDE,BUPROPION HYDROCHLORIDE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
ETODOLAC,Etodolac,ETODOLAC,Unknown,HUMAN PRESCRIPTION DRUG
TADALAFIL,Tadalafil,TADALAFIL,Unknown,HUMAN PRESCRIPTION DRUG
PEMETREXED DISODIUM,Pemetrexed,PEMETREXED DISODIUM HEMIPENTAHYDRATE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
HYDROGEN PEROXIDE,Hydrogen Peroxide,HYDROGEN PEROXIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE","BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",ACETAMINOPHEN|BUTALBITAL|CAFFEINE,Unknown,HUMAN PRESCRIPTION DRUG
POLYETHYLENE GLYCOL 3350,Mix-In Laxative Packets,POLYETHYLENE GLYCOL 3350,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
CHLORHEXIDINE GLUCONATE,CHLORHEXIDINE GLUCONATE,CHLORHEXIDINE GLUCONATE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
LEVETIRACETAM,Levetiracetam,LEVETIRACETAM,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
ESOMEPRAZOLE MAGNESIUM,Esomeprazole Magnesium,ESOMEPRAZOLE MAGNESIUM DIHYDRATE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
GUAIFENESIN,Childrens Mucus Relief Chest Congestion,GUAIFENESIN,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
METHYLPHENIDATE HYDROCHLORIDE,Methylphenidate Hydrochloride (LA),METHYLPHENIDATE HYDROCHLORIDE,Unknown,HUMAN PRESCRIPTION DRUG
"ALLIUM CEPA, APIS MELLIFICA, ARALIA RACEMOSA, ARUNDO MAURITANICA, BAPTISIA TINCTORIA, ECHINACEA (ANGUSTIFOLIA), EUPHRASIA OFFICINALIS, GELSEMIUM SEMPERVIRENS, HISTAMINUM HYDROCHLORICUM, LYCOPODIUM CLAVATUM, RHUS TOX, SABADILLA, SANGUINARIA CANADENSIS, URTICA URENS",Pollen Distress,APIS MELLIFERA|ARALIA RACEMOSA ROOT|ARUNDO PLINIANA ROOT|BAPTISIA TINCTORIA ROOT|ECHINACEA ANGUSTIFOLIA WHOLE|EUPHRASIA STRICTA|GELSEMIUM SEMPERVIRENS ROOT|HISTAMINE DIHYDROCHLORIDE|LYCOPODIUM CLAVATUM SPORE|ONION|SANGUINARIA CANADENSIS ROOT|SCHOENOCAULON OFFICINALE SEED|TOXICODENDRON PUBESCENS LEAF|URTICA URENS WHOLE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
FAMOTIDINE,Famotidine,FAMOTIDINE,Unknown,HUMAN PRESCRIPTION DRUG
"HUMAN GROWTH HORMONE, HYPOPHYSIS SUIS, HEPAR SUIS",Vital Age Defiance,PORK LIVER|SOMATROPIN|SUS SCROFA PITUITARY GLAND,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
QUETIAPINE FUMARATE,Quetiapine Fumarate,QUETIAPINE FUMARATE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
DIPHENHYDRAMINE HYDROCHLORIDE,Sleep Aid,DIPHENHYDRAMINE HYDROCHLORIDE,Unknown,HUMAN OTC DRUG
MINOXIDIL,MINOXIDIL,MINOXIDIL,Unknown,HUMAN PRESCRIPTION DRUG
DEFERASIROX,Deferasirox,DEFERASIROX,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
WITCH HAZEL,Witch Hazel,WITCH HAZEL,Unknown,HUMAN OTC DRUG
"GUAIFENESIN, DEXTROMETHORPHAN HBR",Mucus Relief DM,DEXTROMETHORPHAN HYDROBROMIDE|GUAIFENESIN,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
ANASTROZOLE,Anastrozole,ANASTROZOLE,Unknown,HUMAN PRESCRIPTION DRUG
"OCTISALATE, OCTOCRYLENE, TITANIUM DIOXIDE, ZINC OXIDE",Dolce and Gabbana Everlast Foundation SPF 20 38C Deep,OCTISALATE|OCTOCRYLENE|TITANIUM DIOXIDE|ZINC OXIDE,Unknown,HUMAN OTC DRUG
"AVOBENZONE, HOMOSALATE, OCTISALATE AND OCTOCRYLENE",La Roche Posay Laboratoire Dermatologique Anthelios 60 Face Light Fluid Sunscreen Broad Spectrum SPF 60 Water Resistant 80 Minutes,AVOBENZONE|HOMOSALATE|OCTISALATE|OCTOCRYLENE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
PHENYTOIN SODIUM,Phenytoin Sodium,PHENYTOIN SODIUM,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
TOPIRAMATE,TOPIRAMATE,TOPIRAMATE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
"CHLORPHENIRAMINE MALEATE, DEXTROMETRORPHAN HBR",CVS childrens Cough and Cold,CHLORPHENIRAMINE MALEATE|DEXTROMETHORPHAN HYDROBROMIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
LACOSAMIDE,Lacosamide,LACOSAMIDE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
"ALUMEN, CALCAREA CARBONICA, DNA, FERRUM PHOSPHORICUM, HEPAR SULPHURIS CALCAREUM, KALI CARBONICUM, KALI MURIATICUM, KALI SULPHURICUM, MAGNESIA PHOSPHORICA, NATRUM MURIATICUM, NATRUM PHOSPHORICUM, RNA, SILICEA.",Lyme Disease Support 1,"CALCIUM SULFIDE|FERROSOFERRIC PHOSPHATE|HERRING SPERM DNA|MAGNESIUM PHOSPHATE, DIBASIC TRIHYDRATE|OYSTER SHELL CALCIUM CARBONATE, CRUDE|POTASSIUM ALUM|POTASSIUM CARBONATE|POTASSIUM CHLORIDE|POTASSIUM SULFATE|SACCHAROMYCES CEREVISIAE RNA|SILICON DIOXIDE|SODIUM CHLORIDE|SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE",Unknown,HUMAN OTC DRUG
"EUCALYPTOL, MENTHOL, METHYL SALICYLATE, THYMOL",Antispetic,EUCALYPTOL|MENTHOL|METHYL SALICYLATE|THYMOL,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
EZETIMIBE,Ezetimibe,EZETIMIBE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
OLMESARTAN MEDOXOMIL AND HYDROCHLOROTHIAZIDE,Olmesartan Medoxomil and Hydrochlorothiazide,HYDROCHLOROTHIAZIDE|OLMESARTAN MEDOXOMIL,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
DIGOXIN,Digoxin,DIGOXIN,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
"DEXTROMETHORPHAN HYDROBROMIDE, GUAIFENESIN",Robitussin Sugar-Free Dye-Free Cough Plus Chest Congestion DM,DEXTROMETHORPHAN HYDROBROMIDE|GUAIFENESIN,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
TRYPAN BLUE,MEMBRANEBLUE,TRYPAN BLUE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
"DIOSCOREA VILLOSA TUBER, SODIUM CHLORIDE, AND STRYCHNOS NUX-VOMICA SEED",BHI Constipation,DIOSCOREA VILLOSA TUBER|SODIUM CHLORIDE|STRYCHNOS NUX-VOMICA SEED,Unknown,HUMAN OTC DRUG
TOPIRAMATE,topiramate,TOPIRAMATE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
BETAMETHASONE VALERATE,Betamethasone Valerate,BETAMETHASONE VALERATE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
"CINNAMON, GARLIC, GINGER, MUSTARD SEED, UNSPECIFIED, AND NUTMEG",A-29,"CINNAMON|GARLIC|GINGER|MUSTARD SEED, UNSPECIFIED|NUTMEG",Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
LEVONORGESTREL AND ETHINYL ESTRADIOL,Dolishale,ETHINYL ESTRADIOL|LEVONORGESTREL,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
RIFAMPIN,Rifadin IV,RIFAMPIN,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
"BROMPHENIRAMINE, PSEUDOEPHEDRINE, DEXTROMETHORPHAN","Brompheniramine, Pseudoephedrine, Dextromethorphan",BROMPHENIRAMINE MALEATE|DEXTROMETHORPHAN HYDROBROMIDE|PSEUDOEPHEDRINE HYDROCHLORIDE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
TROLAMINE SALICYLATE,MOBISYL,TROLAMINE SALICYLATE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
TIMOLOL MALEATE,Timolol Maleate,TIMOLOL MALEATE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
CALCIUM CARBONATE,Tums Chewy Bites Orange and Cream ES,CALCIUM CARBONATE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
FEXOFENADINE HYDROCHLORIDE,ValuMeds 24-Hour Allergy Relief,FEXOFENADINE HYDROCHLORIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
BENZETHONIUM CHLORIDE PLUS DYCLONINE HYDROCHLORIDE,Liquid Bandage,BENZETHONIUM CHLORIDE|DYCLONINE HYDROCHLORIDE,Unknown,HUMAN OTC DRUG
"PHOSPHORIC ACID, AMANITA MUSCARIA FRUITING BODY, SEMECARPUS ANACARDIUM FRUIT, AVENA SATIVA FLOWERING TOP, CINCHONA OFFICINALIS BARK, STRYCHNOS IGNATII SEED, SCHOENOCAULON OFFICINALE SEED, AND PIPER METHYSTICUM ROOT",PSY-stabil,AMANITA MUSCARIA FRUITING BODY|AVENA SATIVA FLOWERING TOP|CINCHONA OFFICINALIS BARK|MACROPIPER METHYSTICUM ROOT|PHOSPHORIC ACID|SCHOENOCAULON OFFICINALE SEED|SEMECARPUS ANACARDIUM FRUIT|STRYCHNOS IGNATII SEED,Unknown,HUMAN OTC DRUG
"OCTOCRYLENE, OCTISALATE, AVOBENZONE",Bali Body Watermelon Tanning Oil SPF 6,AVOBENZONE|OCTISALATE|OCTOCRYLENE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
STANNOUS FLUORIDE,Complete Protection,STANNOUS FLUORIDE,Unknown,HUMAN OTC DRUG
TOLNAFTATE POWDER SPRAY,Tolnafate,TOLNAFTATE,Unknown,HUMAN OTC DRUG
FLUTICASONE PROPIONATE,Fluticasone Propionate,FLUTICASONE PROPIONATE,Unknown,HUMAN OTC DRUG
LORATADINE,Claritin Chewable Grape and Bubblegum,,Unknown,HUMAN OTC DRUG
ADVANCED CARE LAVENDER FRESH DRY SPRAY 48H ANTIPERSPIRANT DEODORANT,Dove,ALUMINUM CHLOROHYDRATE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
ADVANCED CARE CLEAR MINERALS DRY SPRAY 48H ANTIPERSPIRANT DEODORANT,Dove,ALUMINUM CHLOROHYDRATE,Unknown,HUMAN OTC DRUG
CISPLATIN,CISPLATIN,CISPLATIN,Unknown,HUMAN PRESCRIPTION DRUG
ADVANCED CARE PINK ROSA DRY SPRAY 48H ANTIPERSPIRANT DEODORANT,Dove,ALUMINUM CHLOROHYDRATE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
NIOBIUM OXYDATUM,Niobium Oxydatum,SODIUM NIOBIUM(V) OXIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
ADVANCED CARE SHEA BUTTER DRY SPRAY 48H ANTIPERSPIRANT DEODORANT,Dove,ALUMINUM CHLOROHYDRATE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
IBUPROFEN AND FAMOTIDINE,IBUPROFEN AND FAMOTIDINE,FAMOTIDINE|IBUPROFEN,Unknown,HUMAN PRESCRIPTION DRUG
SODIUM FLUORIDE,Oral Antivavity,SODIUM FLUORIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
MINOXIDIL,Minoxidil Extra Strength for Men,MINOXIDIL,Unknown,HUMAN OTC DRUG
PSORIASIS MEDICATED MOISTURIZER,Dr. Sheffield Psoriasis Medicated Moisturizer,SALICYLIC ACID,Unknown,HUMAN OTC DRUG
HYDROCORTISONE,TrueLipids 1% Hydrocortisone Barrier Cream,HYDROCORTISONE,Unknown,HUMAN OTC DRUG
URINARY TRACT DROPS,Urinary Tract Drops 2122,AGATHOSMA BETULINA LEAF|BEEF KIDNEY|CAUSTICUM|CHIMAPHILA UMBELLATA WHOLE|CRATEVA MAGNA BARK|DELPHINIUM STAPHISAGRIA SEED|EQUISETUM ARVENSE TOP|LYTTA VESICATORIA|SEPIA OFFICINALIS JUICE|SMILAX ORNATA ROOT|SUS SCROFA URINARY BLADDER|TOXICODENDRON PUBESCENS LEAF|URTICA URENS WHOLE,Unknown,HUMAN OTC DRUG
PIROXICAM,Piroxicam,PIROXICAM,Unknown,HUMAN PRESCRIPTION DRUG
CHLOROXYLENOL,Good Care Sterile Scrub Brush with PCMX,CHLOROXYLENOL,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
NICCOLUM IODATUM,Niccolum Iodatum,NICKEL IODIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
VILAZODONE HYDROCHLORIDE,VILAZODONE HYDROCHLORIDE,VILAZODONE HYDROCHLORIDE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
SIMVASTATIN,Simvastatin,SIMVASTATIN,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
"ENSULIZOLE, OCTISALATE, ZINC OXIDE",g and h Protect Body,ENSULIZOLE|OCTISALATE|ZINC OXIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
ALCOHOL HAND SANITIZER,365 Chai Spice Hand Sanitizer Wipes,ALCOHOL,Unknown,HUMAN OTC DRUG
ALCOHOL HAND SANITIZER,365 Winterberry Hand Sanitizer Wipes,ALCOHOL,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
LIDOCAINE HYDROCHLORIDE,Lidocaine hydrochloride,LIDOCAINE HYDROCHLORIDE,Unknown,HUMAN PRESCRIPTION DRUG
"POLYETHYLENE GLYCOL 400, TETRAHYDROZOLINE HCL",Glitch Advanced Relief Eye Drops,POLYETHYLENE GLYCOL 400|TETRAHYDROZOLINE HYDROCHLORIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
PYRITHIONE ZINC,Dandruff,PYRITHIONE ZINC,Unknown,HUMAN OTC DRUG
BENZOYL PEROXIDE,CLEAR MED 5%,BENZOYL PEROXIDE,Unknown,HUMAN OTC DRUG
DICLOFENAC SODIUM,Diclofenac Sodium,DICLOFENAC SODIUM,Unknown,HUMAN PRESCRIPTION DRUG
OXYGEN,Oxygen,OXYGEN,Unknown,HUMAN PRESCRIPTION DRUG
SODIUM CHLORIDE,Sodium chloride,SODIUM CHLORIDE,Unknown,HUMAN PRESCRIPTION DRUG
ALCOHOL,Hand sanitizer 29ml 01,ALCOHOL,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
PHENOBARBITAL,Phenobarbital,PHENOBARBITAL,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
ACETAMINOPHEN,TYLENOL 8 HR MUSCLE ACHES AND PAIN,ACETAMINOPHEN,Unknown,HUMAN OTC DRUG
TRIAMCINOLONE ACETONIDE,Triamcinolone acetonide,TRIAMCINOLONE ACETONIDE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
BUPRENORPHINE,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
ADVANCED CARE ROSE PETALS DRY SPRAY 48H ANTIPERSPIRANT DEODORANT,Dove,ALUMINUM CHLOROHYDRATE,Unknown,HUMAN OTC DRUG
ADVANCED CARE POWDER SOFT DRY SPRAY 48H ANTIPERSPIRANT DEODORANT,Dove,ALUMINUM CHLOROHYDRATE,Unknown,HUMAN OTC DRUG
ADVANCED CARE NOURISHED BEAUTY DRY SPRAY 48H ANTIPERSPIRANT DEODORANT,Dove,ALUMINUM CHLOROHYDRATE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
ADVANCED CARE ORIGINAL CLEAN DRY SPRAY 48H ANTIPERSPIRANT DEODORANT,Dove,ALUMINUM CHLOROHYDRATE,Unknown,HUMAN OTC DRUG
ADVANCED CARE SHEER COOL DRY SPRAY 48H ANTIPERSPIRANT DEODORANT,Dove,ALUMINUM CHLOROHYDRATE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
CEPHALEXIN,Cephalexin,CEPHALEXIN,Unknown,HUMAN PRESCRIPTION DRUG
ANTACID TABLETS,Extra Strength,CALCIUM CARBONATE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
MEB PURI-VEGA,MEB Puri-vega,CALCIUM FLUORIDE|FERROSOFERRIC PHOSPHATE|MAGNESIUM CHLORIDE|MAGNESIUM SULFATE HEPTAHYDRATE|SILICON DIOXIDE|SODIUM NITRATE|SULFUR|ZINC,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
ASPIRIN,HEB Effervescent Pain Relief,ASPIRIN,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
RILPIVIRINE HYDROCHLORIDE,EDURANT|EDURANT PED,RILPIVIRINE HYDROCHLORIDE,Unknown,HUMAN PRESCRIPTION DRUG
ORIGANUM MAJORANA,Origanum Majorana,ORIGANUM MAJORANA,Unknown,HUMAN OTC DRUG
