drug_a,drug_b,severity,description,raw_text
ESZOPICLONE,CNS Active Drugs Ethanol,moderate,"An additive effect on psychomotor performance was seen with coadministration of eszopiclone and ethanol [see Warnings and Precautions (5.1 , 5.2) ]",7 DRUG INTERACTIONS • CNS Depressants Additive CNS-depressant effects with combination use. Use with ethanol causes additive psychomotor impairment ( 7.1 ) • Rifampicin Combination use may decrease exposure and effects of eszopiclone tablets ( 7.2 ) • Ketoconazole Combination use increases exposure and effect of eszopiclone tablets. Dose reduction of eszopiclone tablet is needed ( 7.2 ) 7.1 CNS Active Drugs Ethanol: An additive effect on psychomotor performance was seen with coadministration of 
ESZOPICLONE,Olanzapine,unknown,Coadministration of eszopiclone and olanzapine produced a decrease in DSST scores. The interaction was pharmacodynamic; there was no alteration in the pharmacokinetics of either drug. 7,7 DRUG INTERACTIONS • CNS Depressants Additive CNS-depressant effects with combination use. Use with ethanol causes additive psychomotor impairment ( 7.1 ) • Rifampicin Combination use may decrease exposure and effects of eszopiclone tablets ( 7.2 ) • Ketoconazole Combination use increases exposure and effect of eszopiclone tablets. Dose reduction of eszopiclone tablet is needed ( 7.2 ) 7.1 CNS Active Drugs Ethanol: An additive effect on psychomotor performance was seen with coadministration of 
Unknown,Antacids,unknown,"Do not take at the same time as aluminum and magnesium containing antacids ( 7.1 ) • Fruit juice: Take with water, not fruit juice. 7","7 DRUG INTERACTIONS • Antacids: Do not take at the same time as aluminum and magnesium containing antacids ( 7.1 ) • Fruit juice: Take with water, not fruit juice. 7.1 Antacids Fexofenadine hydrochloride should not be taken closely in time with aluminum and magnesium containing antacids. In healthy adult subjects, administration of 120 mg of fexofenadine hydrochloride (2 × 60 mg capsule) within 15 minutes of an aluminum and magnesium containing antacid (Maalox®) decreased fexofenadine AUC by 41%"
Unknown,The findings of these studies are summarized in the following table,unknown,"Table 5 Effects on steady-state fexofenadine pharmacokinetics after 7 days of co-administration with fexofenadine hydrochloride 120 mg every 12 hours in healthy adult subjects (n=24) Concomitant Drug CmaxSS (Peak plasma concentration) AUCss(0-12h) (Extent of systemic exposure) Erythromycin (500 mg every 8 hrs) +82% +109% Ketoconazole (400 mg once daily) +135% +164% The changes in plasma levels were within the range of plasma levels achieved in adequate and well-controlled clinical trials. The mechanism of these interactions has been evaluated in in vitro, in situ, and in vivo animal models. These studies indicate that ketoconazole or erythromycin co-administration enhances fexofenadine gastrointestinal absorption","7 DRUG INTERACTIONS • Antacids: Do not take at the same time as aluminum and magnesium containing antacids ( 7.1 ) • Fruit juice: Take with water, not fruit juice. 7.1 Antacids Fexofenadine hydrochloride should not be taken closely in time with aluminum and magnesium containing antacids. In healthy adult subjects, administration of 120 mg of fexofenadine hydrochloride (2 × 60 mg capsule) within 15 minutes of an aluminum and magnesium containing antacid (Maalox®) decreased fexofenadine AUC by 41%"
NITISINONE,Substrates,moderate,Increased systemic exposure of these co-administered drugs; reduce the dosage. Additional dosage adjustments may be needed to maintain therapeutic drug concentrations for narrow therapeutic index drugs. ( 7 ) OAT1/OAT3 Substrates : Increased systemic exposure of these co-administered drugs; monitor for potential adverse reactions,"7 DRUG INTERACTIONS CYP2C9 Substrates : Increased systemic exposure of these co-administered drugs; reduce the dosage. Additional dosage adjustments may be needed to maintain therapeutic drug concentrations for narrow therapeutic index drugs. ( 7 ) OAT1/OAT3 Substrates : Increased systemic exposure of these co-administered drugs; monitor for potential adverse reactions. ( 7 ) Nitisinone is a moderate CYP2C9 inhibitor, a weak CYP2E1 inducer and an inhibitor of OAT1/OAT3. TABLE 2 includes drugs wi"
Unknown,Drug Interactions,unknown,"Patients receiving other narcotics, antihistamines, antipsychotics, antianxiety agents, or other CNS depressants (including alcohol) concomitantly with hydrocodone bitartrate and acetaminophen tablets may exhibit an additive CNS depression. When combined therapy is contemplated, the dose of one or both agents should be reduced. The use of MAO inhibitors or tricyclic antidepressants with hydrocodone preparations may increase the effect of either the antidepressant or hydrocodone","Drug Interactions: Patients receiving other narcotics, antihistamines, antipsychotics, antianxiety agents, or other CNS depressants (including alcohol) concomitantly with hydrocodone bitartrate and acetaminophen tablets may exhibit an additive CNS depression. When combined therapy is contemplated, the dose of one or both agents should be reduced. The use of MAO inhibitors or tricyclic antidepressants with hydrocodone preparations may increase the effect of either the antidepressant or hydrocodon"
CLONIDINE HYDROCHLORIDE,DRUG INTERACTIONS The following have been reported with other oral immediate release formulations of clonidine,moderate,"Table 6 Clinically Important Drug Interactions Concomitant Drug Name or Drug Class Clinical Rationale Clinical Recommendation Tricyclic antidepressants Increase blood pressure and may counteract clonidine’s hypotensive effects Monitor blood pressure and adjust as needed Antihypertensive drugs Potentiate clonidine’s hypotensive effects Monitor blood pressure and adjust as needed CNS depressants Potentiate sedating effects Avoid use Drugs that affect sinus node function or AV node conduction (e.g., digitalis, calcium channel blockers, beta blockers) Potentiate bradycardia and risk of AV block Avoid use Sedating Drugs: Clonidine may potentiate the CNS-depressive effects of alcohol, barbiturates or other sedating drugs",7 DRUG INTERACTIONS The following have been reported with other oral immediate release formulations of clonidine: Table 6 Clinically Important Drug Interactions Concomitant Drug Name or Drug Class Clinical Rationale Clinical Recommendation Tricyclic antidepressants Increase blood pressure and may counteract clonidine’s hypotensive effects Monitor blood pressure and adjust as needed Antihypertensive drugs Potentiate clonidine’s hypotensive effects Monitor blood pressure and adjust as needed CNS d
CLONIDINE HYDROCHLORIDE,Tricyclic Antidepressants,moderate,May reduce the hypotensive effect of clonidine. ( 7 ) Drugs Known to Affect Sinus Node Function or AV Nodal Conduction: Caution is warranted in patients receiving clonidine concomitantly with agents known to affect sinus node function or AV nodal conduction (e.g,7 DRUG INTERACTIONS The following have been reported with other oral immediate release formulations of clonidine: Table 6 Clinically Important Drug Interactions Concomitant Drug Name or Drug Class Clinical Rationale Clinical Recommendation Tricyclic antidepressants Increase blood pressure and may counteract clonidine’s hypotensive effects Monitor blood pressure and adjust as needed Antihypertensive drugs Potentiate clonidine’s hypotensive effects Monitor blood pressure and adjust as needed CNS d
CLONIDINE HYDROCHLORIDE,Antihypertensive drugs,moderate,Use caution when coadministered with clonidine hydrochloride extended-release tablets. ( 7 ),7 DRUG INTERACTIONS The following have been reported with other oral immediate release formulations of clonidine: Table 6 Clinically Important Drug Interactions Concomitant Drug Name or Drug Class Clinical Rationale Clinical Recommendation Tricyclic antidepressants Increase blood pressure and may counteract clonidine’s hypotensive effects Monitor blood pressure and adjust as needed Antihypertensive drugs Potentiate clonidine’s hypotensive effects Monitor blood pressure and adjust as needed CNS d
Unknown,Interactions,unknown,"In vitro [see Clinical Pharmacology (12.3)] The results from an study with human liver tissue indicate that valsartan is a substrate of the hepatic uptake transporter OATP1B1 and the hepatic efflux transporter MRP2. Coadministration of inhibitors of the uptake transporter (rifampin, cyclosporine) or efflux transporter (ritonavir) may increase the systemic exposure to valsartan","7 DRUG INTERACTIONS No clinically significant pharmacokinetic interactions were observed when Diovan (valsartan) was coadministered with amlodipine, atenolol, cimetidine, digoxin, furosemide, glyburide, hydrochlorothiazide, or indomethacin. The valsartan-atenolol combination was more antihypertensive than either component, but it did not lower the heart rate more than atenolol alone. Coadministration of valsartan and warfarin did not change the pharmacokinetics of valsartan or the time-course of"
Unknown,Transporters,unknown,"in vitro Concomitant use of valsartan with other agents that block the renin-angiotensin system, potassium-sparing diuretics (e.g., spironolactone, triamterene, amiloride), potassium supplements, salt substitutes containing potassium or other drugs that may increase potassium levels (e","7 DRUG INTERACTIONS No clinically significant pharmacokinetic interactions were observed when Diovan (valsartan) was coadministered with amlodipine, atenolol, cimetidine, digoxin, furosemide, glyburide, hydrochlorothiazide, or indomethacin. The valsartan-atenolol combination was more antihypertensive than either component, but it did not lower the heart rate more than atenolol alone. Coadministration of valsartan and warfarin did not change the pharmacokinetics of valsartan or the time-course of"
Unknown,Potassium,moderate,"In patients who are elderly, volume-depleted (including those on diuretic therapy), or with compromised renal function, coadministration of NSAIDs, including selective COX-2 inhibitors, with angiotensin II receptor antagonists, including valsartan, may result in deterioration of renal function, including possible acute renal failure. These effects are usually reversible. Monitor renal function periodically in patients receiving valsartan and NSAID therapy","7 DRUG INTERACTIONS No clinically significant pharmacokinetic interactions were observed when Diovan (valsartan) was coadministered with amlodipine, atenolol, cimetidine, digoxin, furosemide, glyburide, hydrochlorothiazide, or indomethacin. The valsartan-atenolol combination was more antihypertensive than either component, but it did not lower the heart rate more than atenolol alone. Coadministration of valsartan and warfarin did not change the pharmacokinetics of valsartan or the time-course of"
Unknown,Lithium,minor,"Potassium-sparing diuretics, potassium supplements or salt substitutes may lead to increases in serum potassium, and in heart failure patients, increases in serum creatinine ( ) 7 NSAID use may lead to increased risk of renal impairment and loss of antihypertensive effect ( ) 7 Dual inhibition of the renin-angiotensin system: Increased risk of renal impairment, hypotension, and hyperkalemia ( ) 7 Lithium: Increases in serum lithium concentrations and lithium toxicity ( ) 7 7.1 Clinical Laboratory Test Findings In controlled clinical trials, clinically important changes in standard laboratory parameters were rarely associated with administration of Diovan. Minor elevations in creatinine occurred in 0","7 DRUG INTERACTIONS No clinically significant pharmacokinetic interactions were observed when Diovan (valsartan) was coadministered with amlodipine, atenolol, cimetidine, digoxin, furosemide, glyburide, hydrochlorothiazide, or indomethacin. The valsartan-atenolol combination was more antihypertensive than either component, but it did not lower the heart rate more than atenolol alone. Coadministration of valsartan and warfarin did not change the pharmacokinetics of valsartan or the time-course of"
Unknown,Creatinine,unknown,"Greater than 20% decreases in hemoglobin and hematocrit were observed in 0.4% and 0.8%, respectively, of Diovan patients, compared with 0","7 DRUG INTERACTIONS No clinically significant pharmacokinetic interactions were observed when Diovan (valsartan) was coadministered with amlodipine, atenolol, cimetidine, digoxin, furosemide, glyburide, hydrochlorothiazide, or indomethacin. The valsartan-atenolol combination was more antihypertensive than either component, but it did not lower the heart rate more than atenolol alone. Coadministration of valsartan and warfarin did not change the pharmacokinetics of valsartan or the time-course of"
Unknown,Hemoglobin and Hematocrit,unknown,Occasional elevations (greater than 150%) of liver chemistries occurred in Diovan-treated patients. Three patients (<0.1%) treated with valsartan discontinued treatment for elevated liver chemistries,"7 DRUG INTERACTIONS No clinically significant pharmacokinetic interactions were observed when Diovan (valsartan) was coadministered with amlodipine, atenolol, cimetidine, digoxin, furosemide, glyburide, hydrochlorothiazide, or indomethacin. The valsartan-atenolol combination was more antihypertensive than either component, but it did not lower the heart rate more than atenolol alone. Coadministration of valsartan and warfarin did not change the pharmacokinetics of valsartan or the time-course of"
Unknown,Liver Function Tests,unknown,Neutropenia was observed in 1.9% of patients treated with Diovan and 0.8% of patients treated with placebo,"7 DRUG INTERACTIONS No clinically significant pharmacokinetic interactions were observed when Diovan (valsartan) was coadministered with amlodipine, atenolol, cimetidine, digoxin, furosemide, glyburide, hydrochlorothiazide, or indomethacin. The valsartan-atenolol combination was more antihypertensive than either component, but it did not lower the heart rate more than atenolol alone. Coadministration of valsartan and warfarin did not change the pharmacokinetics of valsartan or the time-course of"
Unknown,Neutropenia,unknown,"In hypertensive patients, greater than 20% increases in serum potassium were observed in 4.4% of Diovan-treated patients compared to 2.9% of placebo-treated patients","7 DRUG INTERACTIONS No clinically significant pharmacokinetic interactions were observed when Diovan (valsartan) was coadministered with amlodipine, atenolol, cimetidine, digoxin, furosemide, glyburide, hydrochlorothiazide, or indomethacin. The valsartan-atenolol combination was more antihypertensive than either component, but it did not lower the heart rate more than atenolol alone. Coadministration of valsartan and warfarin did not change the pharmacokinetics of valsartan or the time-course of"
Unknown,Serum Potassium,unknown,"In heart failure trials, greater than 50% increases in BUN were observed in 16.6% of Diovan-treated patients compared to 6.3% of placebo-treated patients","7 DRUG INTERACTIONS No clinically significant pharmacokinetic interactions were observed when Diovan (valsartan) was coadministered with amlodipine, atenolol, cimetidine, digoxin, furosemide, glyburide, hydrochlorothiazide, or indomethacin. The valsartan-atenolol combination was more antihypertensive than either component, but it did not lower the heart rate more than atenolol alone. Coadministration of valsartan and warfarin did not change the pharmacokinetics of valsartan or the time-course of"
PREGABALIN,there are no pharmacokinetic interactions between pregabalin and the following antiepileptic drugs,unknown,"carbamazepine, valproic acid, lamotrigine, phenytoin, phenobarbital, and topiramate. Important pharmacokinetic interactions would also not be expected to occur between pregabalin and commonly used antiepileptic drugs [see Clinical Pharmacology (12) ] . Pharmacodynamics Multiple oral doses of pregabalin were co-administered with oxycodone, lorazepam, or ethanol","7 DRUG INTERACTIONS Since pregabalin is predominantly excreted unchanged in the urine, undergoes negligible metabolism in humans (less than 2% of a dose recovered in urine as metabolites), and does not bind to plasma proteins, its pharmacokinetics are unlikely to be affected by other agents through metabolic interactions or protein binding displacement. In vitro and in vivo studies showed that pregabalin is unlikely to be involved in significant pharmacokinetic drug interactions. Specifically, t"
Unknown,Depleting Agents,unknown,"When corticosteroids are administered concomitantly with potassium-depleting agents (e.g., amphotericin B, diuretics ), patients should be observed closely for development of hypokalemia","Drug Interactions Amphotericin B Injection and Potassium-Depleting Agents: When corticosteroids are administered concomitantly with potassium-depleting agents (e.g., amphotericin B, diuretics ), patients should be observed closely for development of hypokalemia. In addition, there have been cases reported in which concomitant use of amphotericin B and hydrocortisone was followed by cardiac enlargement and congestive heart failure. Antibiotics: Macrolide antibiotics have been reported to cause a "
Unknown,Antibiotics,major,"Macrolide antibiotics have been reported to cause a significant decrease in corticosteroid clearance (see PRECAUTIONS : Drug Interactions : Hepatic Enzyme Inducers, Inhibitors and Substrates). Anticholinesterases: Concomitant use of anticholinesterase agents (e.g","Drug Interactions Amphotericin B Injection and Potassium-Depleting Agents: When corticosteroids are administered concomitantly with potassium-depleting agents (e.g., amphotericin B, diuretics ), patients should be observed closely for development of hypokalemia. In addition, there have been cases reported in which concomitant use of amphotericin B and hydrocortisone was followed by cardiac enlargement and congestive heart failure. Antibiotics: Macrolide antibiotics have been reported to cause a "
Unknown,Oral,moderate,"Co-administration of corticosteroids and warfarin usually results in inhibition of response to warfarin, although there have been some conflicting reports. Therefore, coagulation indices should be monitored frequently to maintain the desired anticoagulant effect. Antidiabetics: Because corticosteroids may increase blood glucose concentrations, dosage adjustments of antidiabetic agents may be required","Drug Interactions Amphotericin B Injection and Potassium-Depleting Agents: When corticosteroids are administered concomitantly with potassium-depleting agents (e.g., amphotericin B, diuretics ), patients should be observed closely for development of hypokalemia. In addition, there have been cases reported in which concomitant use of amphotericin B and hydrocortisone was followed by cardiac enlargement and congestive heart failure. Antibiotics: Macrolide antibiotics have been reported to cause a "
Unknown,Antitubercular Drugs,moderate,"Serum concentrations of isoniazid may be decreased. Bupropion: Since systemic steroids, as well as bupropion, can lower the seizure threshold, concurrent administration should be undertaken only with extreme caution; low initial dosing and small gradual increases should be employed. Cholestyramine: Cholestyramine may increase the clearance of corticosteroids","Drug Interactions Amphotericin B Injection and Potassium-Depleting Agents: When corticosteroids are administered concomitantly with potassium-depleting agents (e.g., amphotericin B, diuretics ), patients should be observed closely for development of hypokalemia. In addition, there have been cases reported in which concomitant use of amphotericin B and hydrocortisone was followed by cardiac enlargement and congestive heart failure. Antibiotics: Macrolide antibiotics have been reported to cause a "
Unknown,Cyclosporine,unknown,Increased activity of both cyclosporine and corticosteroids may occur when the two are used concurrently. Convulsions have been reported with this concurrent use. Digitalis Glycosides: Patients on digitalis glycosides may be at increased risk of arrhythmias due to hypokalemia,"Drug Interactions Amphotericin B Injection and Potassium-Depleting Agents: When corticosteroids are administered concomitantly with potassium-depleting agents (e.g., amphotericin B, diuretics ), patients should be observed closely for development of hypokalemia. In addition, there have been cases reported in which concomitant use of amphotericin B and hydrocortisone was followed by cardiac enlargement and congestive heart failure. Antibiotics: Macrolide antibiotics have been reported to cause a "
Unknown,Including Oral Contraceptives,unknown,"Estrogens may decrease the hepatic metabolism of certain corticosteroids, thereby increasing their effect. Fluoroquinolones: Post-marketing surveillance reports indicate that the risk of tendon rupture may be increased in patients receiving concomitant fluoroquinolones (e.g","Drug Interactions Amphotericin B Injection and Potassium-Depleting Agents: When corticosteroids are administered concomitantly with potassium-depleting agents (e.g., amphotericin B, diuretics ), patients should be observed closely for development of hypokalemia. In addition, there have been cases reported in which concomitant use of amphotericin B and hydrocortisone was followed by cardiac enlargement and congestive heart failure. Antibiotics: Macrolide antibiotics have been reported to cause a "
Unknown,Inhibitors and Substrates,unknown,"Drugs which induce cytochrome P450 3A4 (CYP 3A4) enzyme activity (e.g., barbiturates, phenytoin, carbamazepine, rifampin ) may enhance the metabolism of corticosteroids and require that the dosage of the corticosteroid be increased","Drug Interactions Amphotericin B Injection and Potassium-Depleting Agents: When corticosteroids are administered concomitantly with potassium-depleting agents (e.g., amphotericin B, diuretics ), patients should be observed closely for development of hypokalemia. In addition, there have been cases reported in which concomitant use of amphotericin B and hydrocortisone was followed by cardiac enlargement and congestive heart failure. Antibiotics: Macrolide antibiotics have been reported to cause a "
Unknown,Ketoconazole,unknown,"Ketoconazole has been reported to decrease the metabolism of certain corticosteroids by up to 60%, leading to increased risk of corticosteroid side effects. In addition, ketoconazole alone can inhibit adrenal corticosteroid synthesis and may cause adrenal insufficiency during corticosteroid withdrawal. Nonsteroidal Anti-Inflammatory Agents (NSAIDS): Concomitant use of aspirin (or other nonsteroidal anti-inflammatory agents ) and corticosteroids increases the risk of gastrointestinal side effects","Drug Interactions Amphotericin B Injection and Potassium-Depleting Agents: When corticosteroids are administered concomitantly with potassium-depleting agents (e.g., amphotericin B, diuretics ), patients should be observed closely for development of hypokalemia. In addition, there have been cases reported in which concomitant use of amphotericin B and hydrocortisone was followed by cardiac enlargement and congestive heart failure. Antibiotics: Macrolide antibiotics have been reported to cause a "
Unknown,Phenytoin,unknown,"In post-marketing experience, there have been reports of both increases and decreases in phenytoin levels with dexamethasone co-administration, leading to alterations in seizure control. Phenytoin has been demonstrated to increase the hepatic metabolism of corticosteroids, resulting in a decreased therapeutic effect of the corticosteroid. Quetiapine: Increased doses of quetiapine may be required to maintain control of symptoms of schizophrenia in patients receiving a glucocorticoid, a hepatic enzyme inducer","Drug Interactions Amphotericin B Injection and Potassium-Depleting Agents: When corticosteroids are administered concomitantly with potassium-depleting agents (e.g., amphotericin B, diuretics ), patients should be observed closely for development of hypokalemia. In addition, there have been cases reported in which concomitant use of amphotericin B and hydrocortisone was followed by cardiac enlargement and congestive heart failure. Antibiotics: Macrolide antibiotics have been reported to cause a "
Unknown,Skin Tests,unknown,"Corticosteroids may suppress reactions to skin tests. Thalidomide: Co-administration with thalidomide should be employed cautiously, as toxic epidermal necrolysis has been reported with concomitant use. Vaccines: Patients on corticosteroid therapy may exhibit a diminished response to toxoids and live or inactivated vaccines due to inhibition of antibody response","Drug Interactions Amphotericin B Injection and Potassium-Depleting Agents: When corticosteroids are administered concomitantly with potassium-depleting agents (e.g., amphotericin B, diuretics ), patients should be observed closely for development of hypokalemia. In addition, there have been cases reported in which concomitant use of amphotericin B and hydrocortisone was followed by cardiac enlargement and congestive heart failure. Antibiotics: Macrolide antibiotics have been reported to cause a "
Unknown,see WARNINGS,unknown,Infection : Vaccination),"Drug Interactions Amphotericin B Injection and Potassium-Depleting Agents: When corticosteroids are administered concomitantly with potassium-depleting agents (e.g., amphotericin B, diuretics ), patients should be observed closely for development of hypokalemia. In addition, there have been cases reported in which concomitant use of amphotericin B and hydrocortisone was followed by cardiac enlargement and congestive heart failure. Antibiotics: Macrolide antibiotics have been reported to cause a "
ESZOPICLONE,CNS Depressants,unknown,Additive CNS-depressant effects with combination use. Use with ethanol causes additive psychomotor impairment ( 7.1 ) • Rifampicin: Combination use may decrease exposure and effects of eszopiclone ( 7,7 DRUG INTERACTIONS • CNS Depressants: Additive CNS-depressant effects with combination use. Use with ethanol causes additive psychomotor impairment ( 7.1 ) • Rifampicin: Combination use may decrease exposure and effects of eszopiclone ( 7.2 ) • Ketoconazole: Combination use increases exposure and effect of eszopiclone. Dose reduction of eszopiclone is needed ( 7.2 ) 7.1 CNS Active Drugs Ethanol: An additive effect on psychomotor performance was seen with coadministration of eszopiclone and etha
ESZOPICLONE,Ketoconazole,unknown,Combination use increases exposure and effect of eszopiclone. Dose reduction of eszopiclone is needed ( 7.2 ) 7,7 DRUG INTERACTIONS • CNS Depressants: Additive CNS-depressant effects with combination use. Use with ethanol causes additive psychomotor impairment ( 7.1 ) • Rifampicin: Combination use may decrease exposure and effects of eszopiclone ( 7.2 ) • Ketoconazole: Combination use increases exposure and effect of eszopiclone. Dose reduction of eszopiclone is needed ( 7.2 ) 7.1 CNS Active Drugs Ethanol: An additive effect on psychomotor performance was seen with coadministration of eszopiclone and etha
ESZOPICLONE,CNS Active Drugs Ethanol,moderate,"An additive effect on psychomotor performance was seen with coadministration of eszopiclone and ethanol [see Warnings and Precautions ( 5.1 , 5.2 )]",7 DRUG INTERACTIONS • CNS Depressants: Additive CNS-depressant effects with combination use. Use with ethanol causes additive psychomotor impairment ( 7.1 ) • Rifampicin: Combination use may decrease exposure and effects of eszopiclone ( 7.2 ) • Ketoconazole: Combination use increases exposure and effect of eszopiclone. Dose reduction of eszopiclone is needed ( 7.2 ) 7.1 CNS Active Drugs Ethanol: An additive effect on psychomotor performance was seen with coadministration of eszopiclone and etha
ESZOPICLONE,Olanzapine,unknown,Coadministration of eszopiclone and olanzapine produced a decrease in DSST scores. The interaction was pharmacodynamic; there was no alteration in the pharmacokinetics of either drug. 7,7 DRUG INTERACTIONS • CNS Depressants: Additive CNS-depressant effects with combination use. Use with ethanol causes additive psychomotor impairment ( 7.1 ) • Rifampicin: Combination use may decrease exposure and effects of eszopiclone ( 7.2 ) • Ketoconazole: Combination use increases exposure and effect of eszopiclone. Dose reduction of eszopiclone is needed ( 7.2 ) 7.1 CNS Active Drugs Ethanol: An additive effect on psychomotor performance was seen with coadministration of eszopiclone and etha
Unknown,Drug Interaction,unknown,"CHEMET is not known to interact with other drugs including iron supplements; interactions have not been systematically studied. Concomitant administration of CHEMET with other chelation therapy, such as CaNa 2 EDTA is not recommended","Drug Interaction: CHEMET is not known to interact with other drugs including iron supplements; interactions have not been systematically studied. Concomitant administration of CHEMET with other chelation therapy, such as CaNa 2 EDTA is not recommended."
CHLORTHALIDONE,are,unknown,"dryness of mouth, thirst, weakness, lethargy, drowsiness, restlessness, muscle pains or cramps, muscular fatigue, hypotension, oliguria, tachycardia, and gastrointestinal disturbances such as nausea and vomiting. Insulin requirements in diabetic patients may be increased, decreased, or unchanged. Higher dosage of oral hypoglycemic agents may be required","Drug Interactions Chlorthalidone may add to or potentiate the action of other antihypertensive drugs. Potentiation occurs with ganglionic peripheral adrenergic blocking drugs. Medication such as digitalis may also influence serum electrolytes. Warning signs, irrespective of cause, are: dryness of mouth, thirst, weakness, lethargy, drowsiness, restlessness, muscle pains or cramps, muscular fatigue, hypotension, oliguria, tachycardia, and gastrointestinal disturbances such as nausea and vomiting. "
CODEINE SULFATE,Clinical Impact,contraindicated,"The concomitant use of Codeine Sulfate Tablets with CYP3A4 inhibitors, may result in an increase in codeine plasma concentrations with subsequently greater metabolism by cytochrome CYP2D6, resulting in greater morphine levels, which could increase or prolong adverse reactions and may cause potentially fatal respiratory depression, particularly when an inhibitor is added after a stable dose of Codeine Sulfate Tablets is achieved [see Warnings and Precautions ( 5.7 )] . After stopping a CYP3A4 inhibitor, as the effects of the inhibitor decline, it may result in lower codeine levels, greater norcodeine levels, and less metabolism via CYP2D6 with resultant lower morphine levels [see Clinical Pharmacology ( 12","7 DRUG INTERACTIONS Table 1 includes clinically significant drug interactions with Codeine Sulfate Tablets. Table 1: Clinically Significant Drug Interactions with Codeine Sulfate Tablets Inhibitors of CYP3A4 Clinical Impact: The concomitant use of Codeine Sulfate Tablets with CYP3A4 inhibitors, may result in an increase in codeine plasma concentrations with subsequently greater metabolism by cytochrome CYP2D6, resulting in greater morphine levels, which could increase or prolong adverse reaction"
CODEINE SULFATE,Intervention,unknown,"If concomitant use of CYP3A4 inhibitor is necessary, consider dosage reduction of Codeine Sulfate Tablets until stable drug effects are achieved. Evaluate patients at frequent intervals for respiratory depression and sedation. If a CYP3A4 inhibitor is discontinued, consider increasing the Codeine Sulfate Tablets dosage until stable drug effects are achieved","7 DRUG INTERACTIONS Table 1 includes clinically significant drug interactions with Codeine Sulfate Tablets. Table 1: Clinically Significant Drug Interactions with Codeine Sulfate Tablets Inhibitors of CYP3A4 Clinical Impact: The concomitant use of Codeine Sulfate Tablets with CYP3A4 inhibitors, may result in an increase in codeine plasma concentrations with subsequently greater metabolism by cytochrome CYP2D6, resulting in greater morphine levels, which could increase or prolong adverse reaction"
CODEINE SULFATE,Examples,unknown,"Macrolide antibiotics (e.g., erythromycin), azole-antifungal agents (e","7 DRUG INTERACTIONS Table 1 includes clinically significant drug interactions with Codeine Sulfate Tablets. Table 1: Clinically Significant Drug Interactions with Codeine Sulfate Tablets Inhibitors of CYP3A4 Clinical Impact: The concomitant use of Codeine Sulfate Tablets with CYP3A4 inhibitors, may result in an increase in codeine plasma concentrations with subsequently greater metabolism by cytochrome CYP2D6, resulting in greater morphine levels, which could increase or prolong adverse reaction"
CODEINE SULFATE,Inducers Clinical Impact,moderate,"The concomitant use of Codeine Sulfate Tablets and CYP3A4 inducers can result in lower codeine levels, greater norcodeine levels, and less metabolism via 2D6 with resultant lower morphine levels [see Clinical Pharmacology ( 12.3 )] , resulting in decreased efficacy or onset of a withdrawal syndrome in patients who have developed physical dependence [see Warnings and Precautions ( 5.7 )]","7 DRUG INTERACTIONS Table 1 includes clinically significant drug interactions with Codeine Sulfate Tablets. Table 1: Clinically Significant Drug Interactions with Codeine Sulfate Tablets Inhibitors of CYP3A4 Clinical Impact: The concomitant use of Codeine Sulfate Tablets with CYP3A4 inhibitors, may result in an increase in codeine plasma concentrations with subsequently greater metabolism by cytochrome CYP2D6, resulting in greater morphine levels, which could increase or prolong adverse reaction"
CODEINE SULFATE,Intervention,unknown,"If concomitant use of a CYP3A4 inducer is necessary, evaluate patients at frequent intervals for reduced efficacy and signs of opioid withdrawal and consider increasing the Codeine Sulfate Tablets dosage as needed. If a CYP3A4 inducer is discontinued, consider Codeine Sulfate Tablets dosage reduction and evaluate patients at frequent intervals for signs of respiratory depression and sedation. Examples: Rifampin, carbamazepine, phenytoin Inhibitors of CYP2D6 Clinical Impact: Codeine is metabolized by CYP2D6 to form morphine","7 DRUG INTERACTIONS Table 1 includes clinically significant drug interactions with Codeine Sulfate Tablets. Table 1: Clinically Significant Drug Interactions with Codeine Sulfate Tablets Inhibitors of CYP3A4 Clinical Impact: The concomitant use of Codeine Sulfate Tablets with CYP3A4 inhibitors, may result in an increase in codeine plasma concentrations with subsequently greater metabolism by cytochrome CYP2D6, resulting in greater morphine levels, which could increase or prolong adverse reaction"
CODEINE SULFATE,Intervention,unknown,"If concomitant use with a CYP2D6 inhibitor is necessary, or if a CYP2D6 inhibitor is discontinued after concomitant use, consider dosage adjustment of Codeine Sulfate Tablets and evaluate patients at frequent intervals. If concomitant use with CYP2D6 inhibitors is necessary, evaluate patients for reduced efficacy or signs and symptoms of opioid withdrawal and consider increasing the dosage of Codeine Sulfate Tablets as needed. After stopping use of a CYP2D6 inhibitor, consider reducing the dosage of Codeine Sulfate Tablets and evaluate patients at frequent intervals for signs and symptoms of respiratory depression or sedation","7 DRUG INTERACTIONS Table 1 includes clinically significant drug interactions with Codeine Sulfate Tablets. Table 1: Clinically Significant Drug Interactions with Codeine Sulfate Tablets Inhibitors of CYP3A4 Clinical Impact: The concomitant use of Codeine Sulfate Tablets with CYP3A4 inhibitors, may result in an increase in codeine plasma concentrations with subsequently greater metabolism by cytochrome CYP2D6, resulting in greater morphine levels, which could increase or prolong adverse reaction"
